tmdb_id,provider_id
456740,"87,011,796"
1089,"81,796"
1573,337
17979,337
15739,"81,796"
458220,350
32657,337
187017,701
15121,337
161,97
1954,"81,796"
9603,"81,796"
294652,"356,97"
1267,337
63,356
13387,"356,97,701"
1271,"83,561,796"
6877,"81,796"
1957,97
9772,337
290859,337
787,"337,356,97"
117263,"81,796"
12143,97
320288,337
345915,97
11351,356
1427,"83,561,796"
63492,337
51052,"81,796"
373571,"81,796"
5955,356
10112,337
62835,701
508,"81,796"
277834,337
491480,"81,796"
567609,337
10057,337
601,"119,97"
277,356
856,337
197,337
36647,"81,796"
381284,"83,371,796"
10591,"83,371,796"
9919,"8,97,1796"
602734,8
650,8
265208,"81,796"
464052,"81,796"
53182,"81,796"
10015,356
515001,337
10137,97
622,"356,97"
412117,"119,356"
27578,"81,796"
239,97
39514,97
123553,97
453405,"81,796"
980078,"356,97"
310307,"356,97"
12146,"81,796"
402,97
496,337
1701,337
9437,"81,796"
696806,"81,796"
9325,337
43074,97
297802,"81,796"
401981,337
512895,337
513310,"81,796"
116,97
956,"81,796"
172385,337
602,337
100402,337
223702,"81,796"
225886,"81,796"
5123,97
433808,"81,796"
466282,"81,796"
1029119,"81,796"
785084,"8,97,1796"
497828,"8,356,97,1796"
115,119
975,"356,97"
14869,97
175112,337
254,"356,97"
5548,97
9598,119
890656,"81,796"
11870,"81,796"
49519,"119,356"
47964,337
1979,337
117251,"8,356,97,1796"
278927,337
87827,337
27576,"8,97,1796"
289222,701
118340,337
539,356
205584,"356,97,701"
424694,"83,373,561,796"
6114,97
9399,"356,97"
429415,8
181533,337
511987,8
635731,"356,97"
499701,"81,796"
13053,337
188927,"81,796"
481848,337
2567,"356,97"
829280,"81,796"
428078,"119,356"
75258,337
2140,"8,97,1796"
764,"356,97"
17654,356
5175,"81,796"
9532,"83,561,796"
686,97
676547,356
6477,"337,97"
1685,337
453,97
10756,337
10340,337
12448,337
194662,337
1076487,356
10010,337
305470,701
120467,337
879,97
894205,337
399174,337
1688,337
9078,337
14174,356
423,97
522627,"83,561,796"
55341,"356,97"
451048,337
591273,"81,796"
286217,337
116711,337
13811,356
8645,337
442062,"8,97,1796"
43947,356
795514,356
11237,"81,796"
34851,337
522162,"8,97,1796"
11360,337
814,356
22832,"81,796"
